file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,167,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,23
style.css,168,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,15
style.css,169,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,16
style.css,170,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,0
style.css,171,css,be230187,ishita-takkar,2025-05-03,11:46:17,-07:00,2025-05-03T11:46:17-07:00,0,0
style.css,172,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,8
style.css,173,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,13
style.css,174,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,58
style.css,175,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,9
style.css,176,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,13
style.css,177,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,22
style.css,178,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,7
style.css,179,css,ac67c309,ishita-takkar,2025-05-03,12:00:36,-07:00,2025-05-03T12:00:36-07:00,0,17
style.css,180,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,0
style.css,181,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,0
style.css,182,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,13
style.css,183,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,13
style.css,184,css,20f3d1f7,ishita-takkar,2025-05-03,10:36:10,-07:00,2025-05-03T10:36:10-07:00,0,19
